Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1
a girl is sexually harassed by her fellow classmate,0,0,0
a guy misbehaved,1,0,0
a boy commented when i was going to temple,1,0,0
a girl was whistled at,0,0,0
my friend was ogled at by a man for a very long time. he made weird facial expressions looking at her.,0,1,0
while i was standing on the bus stop there were two guys the bus stop was crowded so i looked around and changed my position and i stood where females were standing on the bus stop by seeing the faces i couldn't recognize that these guys could do these cheap things  as an when i was standing near some ladies  while i was waiting for the bus these guys also came near toa me like they also changed their positions like i was noticing their actions i saw that there were giving me cheap facial expressions  by seeing this i changed my direction i faced them just in opposite direction then also i noticed that they were continously smiling and looking at me as if they were talking about me only and trying to judging me then when i boarded my bus they also boarded the same bus the boys were standing just next to me then i told my parents that i wont be able to travel through public transport as these sort of things happens in them.,0,1,0
i was going with my friend and a boy on the bus kept staring at our breasts.,0,1,0
"Catcalls,commenting,touching and others in the area.",1,0,1
Touching,0,0,1
I was followed by an uncle who owns a shop in my area,0,0,0
I was molested by a teacher after class,0,0,1
I was in fun Park with some of my friends. There came a man and he caught my hand. I slapped him.,0,0,1
one man tried to touch my back when walking on street.,1,0,1
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,0,0,1
"As I go to college in Bandra, Carter Road, there are many college going students who comment on firls all the time. And they even touch them and run on bikes.This happens almost everyday.",0,1,1
this incident occurred when my aunt was in rajasthan holidaying with family..when a guy would continue staring at her while she was shopping..it freaked her out a little.,0,1,0
harassment,1,0,0
Being near du means seeing the mix type of crowd and one of the du students was a victim of some evils comments by a boy. being with her friends the girl could give it back to the boy.,1,0,0
"Criminals usually do Chain snatching, commenting and various other bad activities.",1,1,0
Sexual harrasmemt at dadar market,1,0,1
A friend of mine was grouped by some ill mannered guys who were commenting obscenely on my body .,1,0,0
AUTOS AND RICKSHAW DRIVERS THERE PASS COMMENTS.,1,1,0
Pictures were taken near ashok vihar.,0,0,0
Stalking at Leh city (day timeevening),0,0,0
One teenage boy was openly inviting a girl to have sex with him.,0,0,0
its very frequent.,0,1,1
2 men stand near the tea stall right next to my house and keep staring at me whenever i am washing utensils at the tap outside.,0,1,0
Ogling/Facial Expressions,0,1,0
Groping at Saket,0,0,1
my friend and i were returning home from work. two men started whistling and following us. we were scared and we walked faster and ignored them. i told my mother about it who told me to ignore them and avoid further trouble. we take a different route now,0,0,0
happened during the morning time a month ago.,0,0,1
I was on my way to the shop when a man next to the ropad started calling me and I ignored,0,0,0
"This incident took place in sector13,rohini.Me and my friend were going to college in the morning and two boys started commenting on us.",1,0,0
"When I was coming from my village, I was traveling in a crowded bus where a boy touched a girl inappropriately, he did this many times but the girl was ignoring. Later one aunt came between them",0,0,1
I was walking with my friend when a guy started whistling at us.,0,0,0
A man caught red handed defiling a 10 year old man. They are both taken to the police station and both locked up for the night including the 10 year old,0,0,0
I was walking and a man whistled at me. When I looked back he made weird expressions but I ignored.,0,0,0
was in a mall elevator and the liftman was looking at me and i did not like the way he was lookinh and i felt violated but i did not know what to do.,0,1,0
my friend was touched in breast by her own boss MD......,0,0,1
one fake id was made on my name and he used to send unnessary mgs to other people on face book,0,0,0
on  day on my way to school I saw some men following a lady on her way to work,0,0,0
I was teased by a group of girls. They were throwing pebbles at me.,0,0,0
Was followed,0,0,0
"I and some of my friends were having a good time with each other,when my friend noticed that some jerks were taking our pictures and making videos.",0,0,0
two girls were getting harrased(commented) by a boy,1,0,0
near a metro station,0,0,1
a group of guys were sitting and i was crossing the road and one guy whistled,0,0,0
Me and my friends were on a normal evening walk when we came across two men. They started following us and were passing inappropriate comments. When we shouted for help they disappeared on their bike.,1,0,0
A man winked at me and shouted that am his future wife,1,1,0
This incident took place in the evening.There was a strange middle aged man who  kept following me.His facial expressions and his code of conduct was very inappropriate.,0,1,0
COmmenting,1,0,0
in the evening 2 boys snatched my chain,0,0,0
"Catcalls,commenting,touching and sexual invites at Rajendra Place metro in the afternoon.It was so shameless that cannot be described in words.",1,0,1
"my parents friend's house is there. i usually go there and always in that area, these harassment i face or witness.mostly morning",1,0,0
Filed report 1 a few days ago. The larger buses hiding him have gone but there's still a smaller van sized one on parked next to the building. He was there again today at roughly 9 pm doing the same thing. Called the watchman but he ran away before anything could be done about it. Couldn't even get a look at his face.,0,0,0
"Since Ranganathan street is a very crowded street, there are men who occasionally try to touch.",0,0,1
"I was travelling from the bus after college, I got a seat and sat on it. The bus was crowed after sometime and a man entered and was constantly shaking and his crotch was touching my arms.",0,0,1
Group of persons sitting in a car followed a rickshaw and tried to talk to the girls inside the rickshaw passing loud comments.,1,0,0
I was coming back home and there was a guy standing under a tree constantly staring and giving wierd looks.,0,1,0
Touched uncomfortably,0,0,1
this incident happened in a public vehicle. the country was suffering from fuel crisis. the public vehicles were packed my sister was travelling in a micro bus where there was no space to put in the legs she suddenly saw and old aged man (abt 5560 yrs) touching the hip of a teenaged girl. my sister didn't say anything to the man. the old man chronically touched the hip. the harrased girl noticed the man and returned back she said nothing.,0,0,1
happened in afternoon,1,0,0
A friend of mine was being commented upon while returning from her tution.,1,0,0
"guys masturbating,. scandalized",0,0,0
misbehaved,1,0,0
it was really bad.,1,0,1
I was on a metro station when a guy came and hit my breast. I couldnt react at all.,0,0,1
Commenting hauz khas metro station in night time.,1,0,0
touching,0,0,1
"During rain dance party , some guys were trying to touch and passed comments and were following us during evening .",1,0,1
"at evening time, a bunch of boys were trying to touch and were passing commentss",1,0,0
"I was in a crowded bus when this happened. My friend and I were sitting in the general seats on the left side of the bus. the man next to my friend sitting on the aisle side felt something on her shoulder. she turned to check what it was and it turned out to be a man with his erection, resting on her shoulder. This happened in the BEST bus 296",1,1,1
"this happened in maharani enclave at night. i was commented at, dirty comments.",1,0,0
harassment,1,1,0
"During night , I was walking after dropping my friend to her apartment and the next minute I know a guy on scooty hit my ass and drove off .",0,0,1
chain snatching at Najafgarh,0,0,0
"bus ,streets are not safe",1,1,1
"a bus conductor was commenting and suddenly he gripped my hand and refused to go,i started rebuking and shouting.",0,0,1
it happened in afternoon,0,0,0
in night some boys commenting on me,1,0,1
i was in my colony when some boys came and commented something bad about me,1,0,0
my friend was travelling in bus she was alone and the guy sitting at front came to her side and started coming closer.,0,0,0
My uncle used to show me porn and used to touch me when i was about 510,0,0,1
There were two three guys who were commenting during evening while I was out travelling .,1,0,0
Some men said very bad words to me and commented on my figure. They even took my pictures.,1,1,0
"I was standing at the station, waiting for train to arrive and I notice a man brushed through me. I felt very uncomfortable",0,0,1
"Facial expressions and writing their mobile number unnecessarily on train seats (This happened when I was on a train to Rajasthan , not Borivali Station)",0,1,0
one person touched my sexual organs in public vehicle.,0,0,1
boy touched one girl in bus .she was soo uncomfortable,0,0,1
some boys used to tease a girl and this was so disturbing to her that she changed hr route from there.,0,0,0
"A man came too close to a friend and myself and when we moved away, he started accusing us in public that we go to other places with the excuse of college.",1,0,0
"During evening (67pm) , my sister was touched when we were travelling in a rikshaw .",0,0,1
"Some boys snatched the chain of a woman in the night after 11 p.m. amp after this incident, it has become a common routine.",1,0,0
It was around 5 in the evening and guys were commenting and making facial expressions near rajiv chowk Platform.,1,1,0
Pictures were taken and comments were passed.,1,0,0
This incident took place during day time.I was travelling by rickshaw and two guys in car followed and started passing lewd comments.Even the rickshaw puller turned the rickshaw in the wrong direction following their cue.,1,0,0
evening 7 pm,0,0,0
While Climbing the train a man groped on unusal places.,1,1,1
"When I was returning from shop in the evening, a guy came and started talking to me. he was telling me about my getup and others. I was scared.",1,0,0
Harrased by a guy on bike,1,1,1
happened in morning,1,0,0
i was in bus.one boy try to touch me n kiss me at cheek...,0,0,1
"After Sunset on Juhu Tara road, the Road from Juhu Beach to Linking Road, passing Hotel Sea Princess becomes flooded with call girls. They sit in Auto Rickshaws and await clients.They have rooms in nearby shanties, where the whole set up is well planned. Surely, the police is in connivance.",0,0,0
A 6th grader teased a 1st grader in the school bus. He lifted her skirt up.,0,0,1
I get stared at when I go to school.,0,1,0
there was a man who was pretending to be drunk and started touching girl's private parts and he claims that he does not know what he is doing,0,0,1
"when I was in class 8, one of my friends got harassed. on our last period one of our classmate touched her at private part intentionally. She got afraid and shared it with me. later we complaint our teacher.",0,0,1
in front of my aunt's home there is a small ground and a group of boys gather there and smokes and teases girls and i am one of the victim one day i decided to share my problems with my aunt and i did she and she took an action to remove them now i feel safe,1,1,0
a lady was walking along riverroad going to a cosmetic shop when men seated along the pevments started starring at her and shouting at her suggestively she ignored  provoking them .on her way back she was told quotyou have nothing to be proud ofquot,0,1,0
In a beer bar after it closed two girls who were there are hit by some men When she refused to go with them.,0,1,1
"Once I was traveling through bus (724), the Person was drunk amp he had made bad touches.",0,0,1
when i was walking through the street a girl clapped her hand to get my attention and blinked her one eye,0,1,0
"Chain snatching on 20th Aug 2013 around 1030am.On the day of Rakshabandhan,I was coming from my nephew's home.Two people came and they snatched the chain of a woman.",0,0,0
Inappropriately touched during morning and afternoon rush hours at Thane station.,0,0,1
a newspaper seller keeps on staring everytime i pass by on the street of pedder road near bank of india. i just ignore it.,1,1,0
I was going to the market when a car stopped next to me and commented on my clothes and asked me to join them,1,0,0
"It was about 8 pm I presume ,the young girl was coming back from school when she droped from the motocycle .On entering her cite(hostel), she was caught and raped by three guys.Rumours has it that she was raped because she refused to date one of the three boys.",0,0,0
"Few school boys were sitting on the street and we (2 girls and 2 boys) were going through that street and then we heard such cheap comments quotArre Pakkad le, chodna mat, chumle, chumlequot(Catch them, don't let them go, kiss them, kiss them)",1,0,0
"One day my aunt was going to market, some boys follwed her.",0,0,0
beating of students by teachers.,0,0,0
"two bikers came on one bike, the guy sitting behind snatched wallet.",0,0,0
harassment,1,0,0
guy followed and took pictures,1,0,0
"A man touched a girl's hand and when she moved it away, he caught her hand and was grinning.",0,0,1
A few men were calling me names and made me uncomfortable while i was walking,0,0,0
when i was leaving from my college the guys were  commenting.,0,0,0
it was really bad. near ARSD College,1,0,0
"With my neighbor sister of age around 23 is sexually harassed by boy who work in doha, qatar by posting nacked and unwanted pronographic video on her fake fb id.",0,0,0
"My friends and I were on our way to watch a movie, a few men were whistling and singing romantic and cheap songs behind us.",0,0,0
"In the crowd of newroad, one person pinched my chest and went away. I did not even notice who did it.",0,0,1
My friend was sitting with her cousins and reading the holy book. Her teacher touched her inappropriately when she went to sit in her place.,0,0,1
When I was walking by the road I saw some guys making bad comments on a girl who was passing by them.,1,0,0
I was coming back home then there was a guy standing under a tree constantly looking and giving weird looks. When I clearly had a look he was MB and constantly staring,0,1,0
staring,0,1,0
taking pictures and making videos,0,0,0
"I have been sexually assaulted twice in my life, once at the age of 4 and the other when I was 14",1,0,1
harassed in the evening,1,1,1
some group of boys tried to touch my friend when she was going to market,1,0,1
"This incident took place around augustseptember 2013 in the afternoon (34pm) near the bus stop opposite to college(VIPS,pitampura).Passerby were ogling and whistling.",0,1,0
boys whistling while i walk on footpath,0,0,0
boys following girls to their house and trying to touch them,0,0,0
This incident took place in the evening inside DTC Bus 883.I was with a friend.There was a man who first tried to touch back part of my friend's body and after that he also exposed his private parts.,0,0,0
I was on a bus going to college sitting on the aisle seat and a man started ruffing his crotch on my shoulder.,0,0,1
a person commented on the other in respect of religion and caste.,1,0,0
"one morning my friend was going to college. At Ratnapark sky bridge, she encountered with a man who suddenly grabbed her breast. And he walked away as if nothing happened.",0,1,1
Group of 4 boys were touching in a bad manner continuously in bus route no. 721 753 821 853.,0,0,1
touching/groping in Najafgarh,0,0,1
A group of guys came and started passing comments.It happened in the afternoon.,1,0,0
"An old lady was walking suddenly 3 men came pushed her, snatched her train and slapped her arm and ran away",0,0,0
A man use to follow us every now and then one day he touched my breasts and ran away,0,0,1
"when i was leaving for college in the morning, some guys started commenting on me.",1,0,0
"The incident happened in BhatBhateni superstore, I saw a girl aged 20 approx. was being followed by a old age man and he was giving her trouble.",0,0,0
"The man was standing besides me and he was touching my back with his hand and also doing some bad things, which are difficult to describe.(narainaring roadbus)",0,0,1
it was really terrible.,1,1,0
teasing to girls while coming from school,1,0,0
While climbing the stairs a person touched my butt and felt my back.,0,0,1
Touching/groping in the morning.,0,0,1
After practice I was going home and a boy deliberately caught hold of my hand.,0,0,1
misbehaved,0,0,0
one person who was tottaly unknown to me touched my body from neck to waist ...,0,0,1
eve teasing,1,0,0
"I was coming back from work and using laini saba grounds route,a man appeared and came straight to me statrted touching my butt.on seeing people coming he ran off fearing for his life",0,0,1
"During afternoon, there were three guys who were initially following my friend and me , thn later we saw them clicking pictures , we didn't know what to do , so we asked a guy to help us . He got us the phone and we deleted all the pictures they had taken .",0,0,0
"A boy started to touch the girl's hand and when the girl gave the boy a look, he moved but after sometime he grabbed both her hands and then touched her ass.",0,0,1
A guy brushed his elbow on my chest.,1,1,1
I saw a woman being touched on her breasts forcefully by a man,0,0,1
some boys whistled at me on my way from school,0,0,0
"I was with my friend, some boys commented and talked nonsense. we felt very uncomfortable and tried to escape from the place as soon as we could.",1,0,0
"the entire stretch, a little ahead of movie time theatre,ramchandra lane extension is very unsafe due to absence of street lights. The entire road is too dark and the filled with potholes. Adding to it is the presence of a liquor shop and a cigaratte shop in the lane attracting young boys who sit and drink till late nights. The lane also has a slum settlement making things worse.The slum dwellers add to the unsafety of the road.",0,0,0
ogling and weird facial expressions by a man in the car stopping by while i was walking on the road,0,1,0
Inappropriate behavior in the afternoon.,0,0,0
"I was in a saloon and heard some ladies discussing how one day they were taken pictures without their consent and later saw the pictures on wassup group,they were very shocked",0,0,0
"Near Select City Walk,An autowala who passed by commented something and made a cheap expression.It happened in the evening.",1,0,0
"There are some boys who are known for always calling girls and whistling at them, if they do not respond they hurl insults at them",0,0,0
"I was going to school, the road was quiet a man came near to me. I tried to ignore him but he came near me and tried touch my ear then I realized that was trying to snatch my golden earring. I shouted thief then he ran away from the site.",0,0,0
General,1,1,1
some random guy touched my friends breast and ran away while we were returning home from tuition.,0,0,1
I was from school when my brother's friend stopped me because I knew him I stopped.  Then he tried to kiss me,0,0,1
a boy of class 3 was abused infront of school by taking his clothes off .,0,0,0
a guy keeps taking pictures of my friend without her permission everyday. she does not respond and chooses to ignore him,0,0,0
i lost my phone in night in such crowded place,0,0,0
one man touched me on my way to school,0,0,1
Two guys were passing lewd comments . It happened during evening .,1,0,0
"During afternoon , while travelling I was being commented upon because of the clothes I was wearing .",1,0,0
My friend was at the bus stop and a few boys started commenting.,1,0,0
"I felt annoying and unsafe.. After that incident, i m afraid to travel alone after college.",0,0,0
"when my friend was travelling through a sharing auto, the guy sitting next to her in an unpleasant way.",0,0,1
Got stalked for a few days by 2 people.,0,0,1
"my husband beats me up, not just at home but even outside. he is an alcoholic and does not work. he spends all my hard earned money on alcohol. when i go to a shop to buy groceries, he makes allegations on me that i am having an affair. i've complained to the police several times but they do not help me and tell me to sort it on my own. i live near the wednesday market.",0,0,0
"Unsafe pedestrian bridge connecting borivali east and west Presence of drug addicts below the bridge Presence of anti social elements on the bridge Very deserted in non peak hours like afternoon and after 10 pm Lights do not function Can find broken alcohol bottles, cigarettes and condoms lying about in the early morning.",0,0,0
in India there is lots of gang rape going on no one is there to tell or take an action on them.,0,0,0
"Catcalls Commenting and bad facial eexpressions in H block of SHastri nagar, RAped a girl of age 5 to 6 years.",1,1,0
"On one fateful evening some three months ago,I left my home to go clubbing.On my way, I was attacked by a gang of armed robbers who stripped me off my belt,cell phone money and evn jewelries. I was left stranded and isolated at the dark street and diddn't know what to do.",0,0,0
there is a girl who is always sent by some man and then get paid and then he tells the girl to sleep with him and not to tell anyone,0,0,0
was touched in a crowded crossing,0,0,1
it happened in evening,1,1,1
My friend and I were at the bus stop when a old man flashed his genitals at us and walked off as though nothing happened.,1,0,1
"She is 50 and from last so many years almost everyday she has been a victim of sexual assault while traveling. Unfortunately, she never couldn't take any action so far.",1,1,1
This incident took place in Dtc bus no. 883 in morning.People in the bus pass comments and also try to find a reason to touch.This happens very often.,1,1,1
at railway station.,0,0,1
Some of the people in the crowd were trying to comment inadequately on my sister.It happened in the evening.,1,0,0
"while i was travelling in a bus, i got down at my stop and started walking towards my house two guys were coming towards me as they passed, they made a cheap comment",1,1,0
"Touching, night travelling doesn't feel safe",0,0,1
"at evening , i was in bus and i saw a incident happened there regarding mobile snatching.",0,0,0
a colleague of mine was being emotionally pressurized by her boss to have sexual intercourse with him,0,0,1
"I used to visit college, daily by my own vehicle ans I face commenting, indecent exposure each day and after 600 it's quite risky to travel in bus and all",1,0,0
in the evenung a man was trying to toucha girl,0,0,1
Taking benefit of the crowd many people tried to click my pictures while I was wearing a saree during evening. .,0,1,0
"It started one day on campus where we were having a sociocultural night on Campus.I was called by a group of girls and they asked me to give them some money, then I refused and they later slapped me and removed my dress and were doing something ugly to me.",0,0,0
ogling/facial expressions,0,1,0
"It happened outside the back gate of lady shri ram college,lajpat nagar in the morning on 10/01/2011.I was walking to college and got groped on the way.",0,0,1
When I didn't give my taxi driver a large enough tip for carrying my bag (he took this upon himself) he decided to grab my right breast instead.,0,0,1
"My friend witnessed this incident at local railway station in a crowded place. she was waiting for me and she realized a man standing behind her was trying to ejaculate on her dress from behind. The moment she realized this, she turned around and hit him hardly, the man pushed her back and ran away.",0,0,1
A group of guys tried to touch and grope my friend,0,0,1
A few guys were looking at me and singing songs while I was  on my way ti the market.,0,0,0
there is a man in my neighbourhood who kidnaps girls and rape them.one of the victims said that she was carried away and dumped,0,0,0
A man helped me by giving a lift while it was raining.  Later before getting to kibera he started touching my thighs and private parts.,1,0,1
A friend of mine was attacked and raped by some armed rubbers .It happened when she was coming back from church and it was a little bit dark in the evening.These men were standing on the road and all of a sudden this girl felt a tap on her shoulder,0,0,0
"I was coming to delhi from dehradun in night bus. i usually travel in night to save time during day.i had requested to give seat on my side to a lady only, but unfortunately a guy came there.at night around 3pm, almost everyone in bus were asleep. i was halfasleep too. i felt a hand approaching my inner thighs and then touching my private parts. i immediately stood and started shouting so that people can wake up and see what that creep just did with me.but sadly, no one even moved a bit, they opened their eyes but did nothing. not even asked me what happned. then i went to the conductor and requested him to change my seat.i finally got conductor's seat only and couldnt sleep rest of the night.i kept thinking about it for many days and till today i feel like giving a hard punch on his face.",0,0,1
"when i was walking on the street, boys commented on my hair style and looks.",1,0,0
stalking on the way to tuition,0,0,0
The boy showing video near the Church always try to lure school girls into having sex with them.,0,0,0
"This happened in the evening around 3 months back. While I was on my way to madangir, a guy followed me.",0,0,0
Four boys tried to take pictures of me and my friends while we were coming out of our tuitions.,0,0,0
my neighbour told me to follow him so that he can give me guavas. As we went to their plantation he pulled off my cloths and raped me,0,0,0
Bad comments about the girl,1,1,0
harassment,0,0,1
When I was returning back from my brother's home. I was teased by a group of girls. they were commenting on me.,0,0,0
my friend was standing somewhere in model town and saw somebody clicking her pictures . Although she wasn't sure that they were clicking her pictures only but their expressions made it quiet clear.,0,0,0
harassment,0,1,1
"while deboarding the metro i  realised that a man had taken some snaps of me and my friend , and was making indecent expressions",0,1,0
"Stalking, eve teasing",1,0,0
I witnessed a husband beating up his wife in a public place . It happened during afternoon .,0,0,0
2 boys were taking pictures of me and my friends on the metro station. we turned away.,1,0,0
a girl wa being chased and followed by several boys around the legion maria church area on her way to the shop at around 7.30pm,0,0,0
"My friend was walking on the road and a guy passing by, passed a comment on her.",1,0,0
I was regularly beaten by my husband especially when he used to come home drunk,1,1,0
"My sister was coming back from studies one Saturday evening ,a boy called her and asked if he could talk to her .Since it was late for her to be out at 6pm, she refused but the boy caught her.He wanted to rape her but people came to her aid.",0,0,0
It happened in my bar in the night where the stupid guy tried to touch my ...But I slapped him instead.,0,0,1
misbehaved,0,0,1
"I have been sexually harassed .While my parents were away,I was left in the house with my uncle .At night when I was sleeping my uncle harassed me saxually but thank God I struggled with him until he let me go.When ever I think of what he struggled to do to me .It make me loose respect for him.I reported the case to my mother and she drove him out.",0,0,1
I was on bus where an old man touched me and commented me that you are beautiful and asked where are you going dear?,1,0,1
This incident took place in evening with my friend's sister.She was in the market and she was followed by some boys who asked her to be friends with them.,0,0,0
Age 16 yearsType of harassmentCatcalls at school in Leh in 2015 (day time)Commenting at school in Leh in 2015 (day time),1,0,0
the gang of people whistle me and my friend on my way to  home,0,0,0
Twice I was groped by drunk men. They were from my own society and it was during night hours. I was schooling so didn't know how to react.,0,0,1
some boys were commenting on girls there.,1,0,0
This incident took place in the afternoon.Staring in at inappropriate manner.,0,1,0
I was on my way to buy some stuff when suddenly a man pretending to be mad walked passed me and ran after this woman only to touch her butt we laughed but the lady felt bad that she took off.,0,0,1
abused by a family member at home,0,0,1
my friend was sexually harresed by her own uncle .,0,0,0
I was planning to buy a socks. As it was evening time and shops were being closed. There I saw a woolen shop where I thought I could get a pair of socks so I asked if I can buy a pair of socks. He said that I was looking beautiful. He wanted to make friend. He asked me to hug him. I refused and wanted to go. He gave me gold chain and tried to persuade me to have sex. I came out and told my friends. they came and threatened the guy.,0,0,0
I just stepped out of office to buy some munches and a stupid roadside stranger started passing comments like 'saman leke kidhar ka rahi ho',1,0,0
it happened in morning,1,0,0
She was eve teased by a boy while watching a film.,0,0,1
"Touching, groping and commenting at Rajiv Chowk Metro station",1,0,1
Categories selected during Afternoon and evening,1,0,0
Have been touched while boarding the train,0,0,1
"While I was out during the night time , lot of guys who saw me commented upon me . I just ignored them and walked away .",1,0,0
"I was on my way to my son's classes. we were right outside my building and was hailing a rickshaw. that's when when these two teenagers, one of which lived in my building, started pointing at me, made comments and laughed. I ignored it once, but the second time they did it i walked up to them and questioned them and yelled at them.",1,0,0
"When I was walking by bhatbateni supermarket. I saw a boy teasing a girl who was passing by him,",1,0,0
"Stalking, Staring, Groping, Sexual Invites",0,0,1
A man tightly grabbed my thigh in a packed micro bus.,0,0,1
I was going across the street to a grocery store when two men began to follow me on bikes and commented.,1,0,0
"i usually avoid all these comments,but once a guy used to follow me everyday.i complained it to my teacher, he helped me",0,0,0
"While I was walking on a road, one man passed by me saying that he wanted to touch my breast. But he could not do anything.",1,0,0
A lady was wearing a gold chain which had been snatched by two guys . It happened In the evening around 730 pm .,0,0,0
this happened when i was on a vacation with my family..and i was shopping..so a guy tried to touch me..i got scared.,0,0,1
"A bike rider tried stopping me and when I did not stop, he hauled insults at me sayingquot your bent legs, you dumb, you are uglyquot",1,0,0
There was an old woman walking on the street where two boys on bike who had put mask on their face snatched her chain.,0,0,0
"When I was waiting for the bus, an unknown person asked whether I want a lift in his car. He spoke in a very dirty tone. And when I started clicking the photo of his car's number plate, he fled away.",0,0,0
"I used to change d metro at around 8 in the evening at mandi house metro station and take up a metro towards ito. One day while i was waiting for the  metro i realized somebody was staring me for long but i did not took it seriously and ignored. Then suddenly after around 1520days while i was walking towards the platform at the same time, i saw the same person looking at me and smiling, it was wierd but i still ignored. But now this continued for 45 days. He used to catch up the same metro as mine and some times even tried to talk to me at ito metro station where i used to exit.This is all what happened. And it ended when i changed my route.",0,0,0
When I was around 1012 years someone tried to put his hand inside my back pocket in a crowd.,1,1,1
when i was going to home after school. on my way to home there were some guys after commenting the girls,0,0,0
"taking pictures and commenting rude behaviour ,catcalls",1,0,0
"A guy in the car stopped at the bus stop and called my friend over to ask for directions. He was masturbating and before she could realise what was happening, he drove off.",0,0,0
I was walking towards the stage then some guys told me that av got a beautiful figure,1,0,0
unknown boy came and asked my name nd asked to sit with him for some time,1,0,0
Whenever I drive in this area at night I usually get followed by guys in other cars. They tail my car or try to block my way.,0,1,0
near the park while i was walking,1,1,0
Men standing on backroad and ogling. As the place is low lit in the nights it is intimidating to walk through.,0,1,0
"i along with my friend was heading towards GtB metro station from rajiv chowk, There was a huge crowd and one men was trying to touch my posterior part of my body.",0,0,1
catcalled by riksha driver,0,0,0
"I was walking down a street in broad daylight when a man on a bike stopped riding and as I came close, sang a perverted song quotZara zara touch mequot",1,0,0
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,1,1,1
commenting and catcalling by a group of drunk rickshawpullers,1,0,0
A man touched my breast so tightly that I could not do anything. I felt so much of pain.,1,0,1
"When I was 12, on my birthday, I was on my way back home after dinner with my mother, uncle, aunt and cousins. We were crossing the road and one man came and touched my butt. Later he turned to whistle. This was my first experience of sexual harassment.",0,0,1
"I was standing on a line and a group of guys disobeyed the queue and when we scolded, they started teasing us . Happened at around 315 in the afternoon.",1,0,0
feels mistreated in buses,1,1,1
"quotat uhuru Park in town, my friend was being shouted at by street boysquot",1,0,0
two girls were raped by onknown men at night,0,0,0
"travelling in buses is difficult,especially during rush hours.",0,0,1
a month ago i walking n wearing short dress some guys were ther commment me sexy...fee so samed.,1,0,0
Buses heading to this place are not safe.,1,0,1
"sexual harassment.According to what my friend said when a boy was passing he came and took her without her knowing what is happeningto her .Before she could realise herself she was on the boy and the boy had slept with her.The boy took a book and gave it to her and told her that when her mother asks where she was,she should say she went to beg for a book to study.As he took her back home,she started shouting and fainted.She was taken to the hospital .That was where the whole story came to the open.She stays at a camp in Idenau while the boy stays at block 20 in Idenau.It is said that the boy uses black magic .",0,0,0
"when i was going to home from school i have noticed my brother looking backside. there was a boy who was passing bad comment on me. my brother threatened him, but still he was commenting me by using bad words n rough voice.",1,0,0
"It was 830 pm I was going to Baluwatar, near Nagpokhari there were two boys who tried to take my picture. I said this to the policeman and I walked from there.",0,0,0
There were six boys in 2 scooties. They were eve teasing me and my friend. The street was silent.,1,1,0
"catcalls ,whistles and commenting.Especially in the metro station.",1,0,0
A man told a girl that she should go see him because he wanted to touch her,0,0,0
it's a really unsafe area for women,1,1,0
"A man touched some of my private parts, while I was travelling in the bus",1,1,1
"chain snatching,commenting. Outside Ganga Ram Hospital.",1,0,0
"a man came running towards me and before I knew what was to happen, he grabbed my phone I was talking on and ran away",0,0,1
I was groped and catcalled at Kandivali railway station.,0,0,1
harassment,0,0,1
Age 17 yearsType of harassmentStaringOgling when I was roaming in Leh market (evening)Stalking in 2014 during kachos (sermon) in Choglamsar (Leh) (day time)Catcalls at market in 2015 during tuition time (day time)Commenting moti (fat) (day time),1,1,0
boys followed one girl who was alone in the road .and start commenting and wistling.,1,0,0
It happened near Liberty Cinema Hall around 7pm.One of the neighbor was roaming in front of her home when two bikers tried snatching her chain.,0,0,0
"Molestation , Attempt to Rape",0,0,0
I saw a girl being teased badly by boys and the girl was so afraid. They even followed her.,1,1,0
A person was continuously staring amp making comments on my looks.,1,1,0
A biker stopped in front of my friend and asked her to accompany him,0,0,0
Bike riders and cycle riders comment and run away,1,1,0
"I was called names like darling, chuli (apricot)",0,0,0
"In a crowded train, there as a man who was trying to pull my skirt and touching my privates.",0,0,1
happened in evening,1,1,0
"During evening , while travelling commenting feels more like a mandatory thing .",1,0,0
on my way home I met boys by the roadside and I saw them whistling at my friend and calling her names,0,0,0
It was during my coaching our classmates used to follow us everywhere we used to go and pass comments on our dressing and our body language. it felt very uncomfortable.,1,1,0
During a party while dancing in college a guy pinched a girl at inappropriate part.,0,1,0
teachers  beating  students,0,0,0
"My cousin and I were on the scooter riding along Marine drive sea face. A bike came along from behind with 2 guys who kept smiling, ogling and they kept trying to distract us. They would zoom across and come in our way again and again.It happened on Marine Drive but they followed us on our way home (lost half our route). They stopped at Mohammed Ali Rd and diverted their route.",0,1,0
quotI feel a strong hatred towards ladies but dont knw why.quot,0,0,0
"I am a lawyer and I work late Almost every second day when I transit to New Bombay from Andheri via Wadala Rd. Station I see the local boys or boys travelling from that line passing expressly lewd comments and gestures towards female commuters, transgender commuters and effeminate men within the Train Station in full view of the Police Officers deployed at the station.",1,1,0
It was night time. me and my friends were commented by drunkards. We got scared and ran away from there.,1,0,0
